Metal A,Conc A,Metal B,Conc B,PS,TEOA,DMSO,Max H,Type
Bi,0.0,Co,0.0,,,,0.6296041828503358,time series
Bi,0.04977272727272727,Co,0.0,,,,0.6332202836926626,time series
Bi,0.10022727272727272,Co,0.0,,,,0.4118314130053846,time series
Bi,0.15,Co,0.0,,,,0.6988649965766773,time series
Bi,0.1997727272727273,Co,0.0,,,,0.9934356558668328,time series
Bi,0.25022727272727274,Co,0.0,,,,1.3238315450543061,time series
Bi,0.3,Co,0.0,,,,1.336315057460718,time series
Bi,0.34977272727272724,Co,0.0,,,,1.1552089133450878,time series
Bi,0.40022727272727276,Co,0.0,,,,1.9102504536161273,time series
Bi,0.4997727272727272,Co,0.0,,,,1.2067192997718148,time series
Bi,0.6,Co,0.0,,,,1.6149732463911752,time series
Bi,0.6497727272727272,Co,0.0,,,,1.6272698388110516,time series
Bi,0.0,Co,0.10022727272727272,,,,0.42831696319661766,time series
Bi,0.04977272727272727,Co,0.10022727272727272,,,,0.7517999348301221,time series
Bi,0.10022727272727272,Co,0.10022727272727272,,,,1.7196782376128317,time series
Bi,0.15,Co,0.10022727272727272,,,,2.4748253807762044,time series
Bi,0.1997727272727273,Co,0.10022727272727272,,,,4.00602318352542,time series
Bi,0.25022727272727274,Co,0.10022727272727272,,,,4.991246442809753,time series
Bi,0.3,Co,0.10022727272727272,,,,5.703456663670389,time series
Bi,0.34977272727272724,Co,0.10022727272727272,,,,5.5437811447829874,time series
Bi,0.40022727272727276,Co,0.10022727272727272,,,,5.729414985362958,time series
Bi,0.4997727272727272,Co,0.10022727272727272,,,,4.729682579634577,time series
Bi,0.6,Co,0.10022727272727272,,,,1.8590912785736524,time series
Bi,0.6497727272727272,Co,0.10022727272727272,,,,4.270690873577567,time series
Bi,0.0,Co,0.1997727272727273,,,,0.8924932460085327,time series
Bi,0.04977272727272727,Co,0.1997727272727273,,,,0.6163637358397096,time series
Bi,0.10022727272727272,Co,0.1997727272727273,,,,1.5798459152465,time series
Bi,0.15,Co,0.1997727272727273,,,,2.5491494262263252,time series
Bi,0.1997727272727273,Co,0.1997727272727273,,,,2.5333930665379785,time series
Bi,0.25022727272727274,Co,0.1997727272727273,,,,2.0327166037426623,time series
Bi,0.3,Co,0.1997727272727273,,,,3.338838311727007,time series
Bi,0.34977272727272724,Co,0.1997727272727273,,,,3.6190726902675503,time series
Bi,0.40022727272727276,Co,0.1997727272727273,,,,3.5606441744244437,time series
Bi,0.4997727272727272,Co,0.1997727272727273,,,,1.4404335379377076,time series
Bi,0.6,Co,0.1997727272727273,,,,1.428006929043363,time series
Bi,0.6497727272727272,Co,0.1997727272727273,,,,1.9421876261362427,time series
Bi,0.0,Co,0.3,,,,0.5067425854235296,time series
Bi,0.04977272727272727,Co,0.3,,,,0.5449246866581828,time series
Bi,0.10022727272727272,Co,0.3,,,,1.0381301123012605,time series
Bi,0.15,Co,0.3,,,,2.0813345438898367,time series
Bi,0.1997727272727273,Co,0.3,,,,0.9650090607828765,time series
Bi,0.25022727272727274,Co,0.3,,,,2.3010510627509806,time series
Bi,0.3,Co,0.3,,,,1.6659386316962965,time series
Bi,0.34977272727272724,Co,0.3,,,,2.2257811103896445,time series
Bi,0.40022727272727276,Co,0.3,,,,0.8923683459397017,time series
Bi,0.4997727272727272,Co,0.3,,,,0.8733542372359261,time series
Bi,0.6,Co,0.3,,,,1.5437394770738133,time series
Bi,0.6497727272727272,Co,0.3,,,,2.2070617918709114,time series
Bi,0.0,Co,0.40022727272727276,,,,0.668094252794047,time series
Bi,0.04977272727272727,Co,0.40022727272727276,,,,0.46213350031405803,time series
Bi,0.10022727272727272,Co,0.40022727272727276,,,,1.0030143653822219,time series
Bi,0.15,Co,0.40022727272727276,,,,1.0198370599502995,time series
Bi,0.1997727272727273,Co,0.40022727272727276,,,,0.9658423459291616,time series
Bi,0.25022727272727274,Co,0.40022727272727276,,,,0.6632721701178317,time series
Bi,0.3,Co,0.40022727272727276,,,,0.767357812723061,time series
Bi,0.34977272727272724,Co,0.40022727272727276,,,,0.5240777144223266,time series
Bi,0.40022727272727276,Co,0.40022727272727276,,,,0.238661496851668,time series
Bi,0.4997727272727272,Co,0.40022727272727276,,,,1.0042713527503297,time series
Bi,0.6,Co,0.40022727272727276,,,,1.3769649594274505,time series
Bi,0.6497727272727272,Co,0.40022727272727276,,,,0.5551450075260435,time series
Bi,0.0,Co,0.4997727272727272,,,,0.44954833258853844,time series
Bi,0.04977272727272727,Co,0.4997727272727272,,,,0.4868900310327784,time series
Bi,0.10022727272727272,Co,0.4997727272727272,,,,0.5243623011963127,time series
Bi,0.15,Co,0.4997727272727272,,,,0.3286623322724317,time series
Bi,0.1997727272727273,Co,0.4997727272727272,,,,0.45934093501149315,time series
Bi,0.25022727272727274,Co,0.4997727272727272,,,,0.427828214374554,time series
Bi,0.3,Co,0.4997727272727272,,,,0.3107217015253609,time series
Bi,0.34977272727272724,Co,0.4997727272727272,,,,0.230034754018368,time series
Bi,0.40022727272727276,Co,0.4997727272727272,,,,0.255148855885559,time series
Bi,0.4997727272727272,Co,0.4997727272727272,,,,0.8756207824829163,time series
Bi,0.6,Co,0.4997727272727272,,,,0.5055947120790527,time series
Bi,0.6497727272727272,Co,0.4997727272727272,,,,0.36301426800003106,time series
Bi,0.0,Co,0.6,,,,0.2860146238931569,time series
Bi,0.04977272727272727,Co,0.6,,,,0.5199846235537336,time series
Bi,0.10022727272727272,Co,0.6,,,,0.44116337796569977,time series
Bi,0.15,Co,0.6,,,,0.3684574524401355,time series
